cell,month,y,roll3_mean,trend_1,prior_hotspot_freq,neigh_lag1_sum,osm_retail_density,osm_food_drink_density,osm_licensed_count,osm_transport_nodes,osm_road_density_m,centroid_lon,centroid_lat
48,2025-05,0,2.0,-2,0.0,10,144.0,176.0,1,7,3888.727359484263,-0.112683,51.517904
49,2025-05,0,5.0,3,0.0,17,256.0,112.0,2,4,4439.100510267371,-0.10907,51.517904
50,2025-05,0,9.667,1,0.0,41,32.0,16.0,2,8,5939.694871443936,-0.105458,51.517904
51,2025-05,0,16.667,4,0.5,63,16.0,0.0,1,1,4972.325388814089,-0.101845,51.517904
52,2025-05,0,9.0,-1,0.0,70,16.0,80.0,0,3,5059.336124728675,-0.098232,51.517904
53,2025-05,0,1.667,0,0.0,83,16.0,0.0,1,2,4875.025974631033,-0.094619,51.517904
54,2025-05,0,15.667,5,0.25,65,0.0,48.0,1,2,5210.5716847500935,-0.091006,51.517904
55,2025-05,1,21.0,0,0.75,67,176.0,144.0,1,9,5597.982707299784,-0.087394,51.517904
56,2025-05,0,0.0,0,0.0,145,384.0,400.0,1,13,5327.01444482606,-0.083781,51.517904
57,2025-05,1,88.333,-9,1.0,39,288.0,672.0,9,7,4913.80540307647,-0.080168,51.517904
58,2025-05,0,7.667,-4,0.0,91,272.0,304.0,1,0,5294.000726628905,-0.076555,51.517904
59,2025-05,0,0.0,0,0.0,10,176.0,272.0,2,4,3930.014179372386,-0.072942,51.517904
60,2025-05,0,0.0,0,0.0,7,48.0,64.0,0,5,4594.767339701483,-0.112683,51.520153
61,2025-05,0,0.0,0,0.0,19,512.0,192.0,1,0,5078.08719248086,-0.10907,51.520153
62,2025-05,0,0.0,0,0.0,40,80.0,48.0,1,6,5049.605136938941,-0.105458,51.520153
63,2025-05,0,2.333,0,0.0,53,16.0,80.0,3,0,4306.322758694907,-0.101845,51.520153
64,2025-05,0,10.0,-2,0.0,42,112.0,64.0,1,7,6201.923166838686,-0.098232,51.520153
65,2025-05,1,4.333,2,0.0,55,0.0,48.0,0,1,4994.165696003506,-0.094619,51.520153
66,2025-05,0,9.667,1,0.25,54,32.0,96.0,1,1,4465.674757182971,-0.091006,51.520153
67,2025-05,0,0.0,0,0.0,57,48.0,48.0,2,8,4362.68016660346,-0.087394,51.520153
68,2025-05,0,0.0,0,0.0,105,16.0,128.0,1,0,3949.988519273004,-0.083781,51.520153
69,2025-05,0,0.667,-2,0.0,84,32.0,128.0,3,4,4114.350392064077,-0.080168,51.520153
70,2025-05,0,0.0,0,0.0,84,144.0,224.0,1,1,4514.52220470101,-0.076555,51.520153
71,2025-05,0,0.0,0,0.0,6,208.0,128.0,3,1,3716.773322011593,-0.072942,51.520153
72,2025-05,0,0.0,0,0.0,0,224.0,96.0,3,3,5800.716006983319,-0.112683,51.522401
73,2025-05,0,0.0,0,0.0,0,128.0,144.0,3,2,6541.270475723095,-0.10907,51.522401
74,2025-05,0,0.0,0,0.0,3,48.0,96.0,0,3,4912.842911034941,-0.105458,51.522401
75,2025-05,0,0.0,0,0.0,15,192.0,144.0,1,2,4067.16197917632,-0.101845,51.522401
76,2025-05,0,1.667,1,0.0,20,160.0,96.0,0,3,4186.612577165102,-0.098232,51.522401
77,2025-05,0,1.333,2,0.0,28,128.0,80.0,1,0,3842.531609910661,-0.094619,51.522401
78,2025-05,0,0.0,0,0.0,18,80.0,32.0,0,1,4804.3216936903855,-0.091006,51.522401
79,2025-05,0,0.0,0,0.0,11,16.0,48.0,3,2,3210.378683503154,-0.087394,51.522401
80,2025-05,0,0.0,0,0.0,0,32.0,80.0,2,0,4404.320766141274,-0.083781,51.522401
81,2025-05,0,0.333,-1,0.0,0,32.0,64.0,0,2,4005.6885579557606,-0.080168,51.522401
82,2025-05,0,0.0,0,0.0,0,80.0,128.0,3,5,4126.597769491193,-0.076555,51.522401
83,2025-05,0,0.0,0,0.0,0,0.0,0.0,0,1,1782.1743899911505,-0.072942,51.522401
0,2025-06,0,0.0,0,0.0,3,0.0,16.0,0,0,486.3832898619621,-0.112683,51.508911
1,2025-06,0,0.0,0,0.0,9,224.0,112.0,0,0,1743.4436845976547,-0.10907,51.508911
2,2025-06,0,0.0,0,0.0,14,0.0,32.0,2,2,2882.081028394153,-0.105458,51.508911
